CowTagID,NbSp,NbSpP,NbFEs,NbFEsP,resSp,resSpp,resFE,resFEp
V1,13,54.166666666666664,7,31.818181818181817,3.2027592243824152,13.78797581695722,1.0939586511829766,1.8687680137429274
V10,3,11.538461538461538,3,25,-3.8870376155055975,-17.082622969534896,-4.063673229444286,-7.974643781509243
V11,9,37.5,7,31.818181818181817,2.1129623844944025,8.878915492003566,-0.06367322944428544,-1.1564619633274273
V12,8,33.33333333333333,5,22.727272727272727,-1.5200223434443698,-5.968475408818579,-1.174273126035539,-7.923108998682433
V14,7,29.166666666666668,5,22.727272727272727,-0.7517972842933486,-2.371537972680821,0.3927651513989193,-3.827980615087141
V15,10,41.66666666666667,8,36.36363636363637,2.5192042613270784,10.620785583546025,1.0775013901444044,3.757923067135707
V16,5,19.230769230769234,4,33.33333333333333,-1.014612943429118,-4.99245598059888,-0.2119459137527484,7.8110853489975
V17,5,19.230769230769234,3,25,-1.2256205973809986,-5.879426916371312,-1.254298299629355,-0.632927129838404
V18,7,29.166666666666668,6,27.27272727272727,-2.1923412903327173,-8.825783652484194,-0.3578001315008347,-3.857264083739047
V19,11,45.83333333333333,9,40.909090909090914,1.9316502887316016,8.713669775606322,3.9551238306739815,13.210153063204437
V2,15,62.5,9,40.909090909090914,5.42028263857563,22.96209443131813,2.8680792598410685,10.36938832863833
V20,7,26.923076923076923,4,33.33333333333333,-0.9070720352004268,-5.270878818627782,-0.6495872344776866,6.667400845470888
V3,8,33.33333333333333,7,31.818181818181817,-1.2215284468335157,-4.776352566896719,0.6563173304580339,0.7250835102163569
V4,9,34.61538461538461,4,33.33333333333333,-0.825082151525515,-5.863397872003036,-1.8495715009815517,3.5314917228979157
V5,8,33.33333333333333,7,31.818181818181817,0.14305104810001618,0.7538753629614998,0.17632362385648714,-0.5292801388128339
V6,11,45.83333333333333,7,31.818181818181817,2.065699726429995,9.285216701657953,2.011593678509457,4.266816166298771
V7,8,33.33333333333333,6,27.27272727272727,-1.6331212828507273,-6.218037450673741,0.6304222056199946,-1.2747506886789535
V8,7,29.166666666666668,6,27.27272727272727,-1.6749155098995772,-6.73693588856036,-0.5695620608838703,-4.410659811251926
V9,8,33.33333333333333,5,22.727272727272727,-1.6497147252795838,-6.2907324470427515,-0.38369525633887436,-5.857098282634356
VSEEP,1,3.8461538461538463,1,8.333333333333332,1.1072566539343578,5.274104780242364,-2.2840051391962906,-14.763934573041071
