CowTagID,NbSp,NbSpP,NbFEs,NbFEsP,Vol8D,resSp,resSpp,resFE,resFEp,resVol
V1,20,39.21568627450981,12,54.54545454545454,24.75347497158348,3.3349628433322245,6.539142830063099,0.11368267161160185,0.5167394164163297,-12.0363329949592
V10,15,29.411764705882355,11,50,26.39486290328408,-6.2542935388470156,-12.26332066440591,-4.215406294657162,-19.160937702987095,-22.923670039200346
V11,19,37.254901960784316,14,63.63636363636363,45.98489755421741,-2.254293538847018,-4.42018340950395,-1.2154062946571644,-5.524574066623473,-3.3336353882670275
V12,19,37.254901960784316,12,54.54545454545454,50.451368745539874,1.2715985442773292,2.493330478975162,-0.6576916122166395,-2.9895073282574547,10.758563486488743
V14,10,19.607843137254903,7,31.818181818181817,11.340555065624274,-1.5161154077496461,-2.972775309313028,-1.151241935985677,-5.232917890843985,-11.392634760049013
V15,22,43.13725490196079,16,72.72727272727273,45.98489755421741,1.3053718960591767,2.559552737370943,1.1905801809259435,5.411728095117936,-1.8057420372420472
V16,11,21.568627450980394,8,36.36363636363637,20.621936509133317,1.050947755453897,2.0606818734390164,0.985520156087701,4.479637073125921,2.166847917452033
V17,8,15.686274509803921,6,27.27272727272727,2.256072877886981,-2.1169518886514096,-4.150886056179234,-1.1362757964770607,-5.164889983986639,-16.65738375632127
V18,16,31.372549019607842,13,59.09090909090909,40.43992972111351,-2.4559664665669247,-4.815620522680242,-0.1854739909153581,-0.8430635950698034,-1.2391367453921687
V19,19,37.254901960784316,15,68.18181818181817,63.23304211109826,5.74892181902513,11.27239572357869,5.59020004410076,25.410000200457993,35.763383101954695
V2,29,56.86274509803921,16,72.72727272727273,61.822430191935766,11.439498188382636,22.43038860467184,3.4641043403481233,15.745928819764204,22.58799297541161
V20,10,19.607843137254903,7,31.818181818181817,16.607678391954792,-1.6840150177713307,-3.301990230924175,-1.2730378638258648,-5.78653574466302,-6.583879383196769
V3,19,37.254901960784316,15,68.18181818181817,32.67833310670547,0.6000000701069702,1.176470725699949,1.855124651698038,8.43238478044562,-8.847944043307445
V4,18,35.294117647058826,11,50,26.807424789343038,1.5588289900277745,3.056527431427016,-0.7239227579348153,-3.2905579906127937,-9.371225911228578
V5,17,33.33333333333333,14,63.63636363636363,64.43577406578565,-3.302862347223561,-6.4762006808305115,-0.5252293207802875,-2.387406003546761,17.714659689775495
V6,18,35.294117647058826,13,59.09090909090909,53.101275039198214,4.9727879998043285,9.75056470549869,3.7525946392789153,17.057248360358713,26.24277338907438
V7,14,27.450980392156865,11,50,48.74290564217707,-0.5383086267253155,-1.0555071112261043,0.6564311898189357,2.98377813554062,17.759092074554
V8,16,31.372549019607842,13,59.09090909090909,36.76480853352271,-3.295464584842591,-6.4616952643972345,-0.794453679565443,-3.6111530889338255,-7.206097866471726
V9,12,23.52941176470588,8,36.36363636363637,7.953219275316849,-2.594275163399211,-5.086814045880804,-2.3841674527944603,-10.83712478542936,-23.18338360879898
VSEEP,1,1.9607843137254901,1,4.545454545454546,0,-5.270371525845443,-10.334061815383219,-3.345930874060087,-15.208776700273123,-8.412246100276395
