Date,Time,TempInSitu,AbsPressure,Depth,LoggerID
2022-06-03,10:36:00,26.683,105.678,0.442,WL_876_VSled_20220603
2022-06-03,10:38:00,26.683,105.678,0.442,WL_876_VSled_20220603
2022-06-03,10:40:00,26.683,106.281,0.504,WL_876_VSled_20220603
2022-06-03,10:42:00,26.683,105.902,0.465,WL_876_VSled_20220603
2022-06-03,10:44:00,26.683,106.108,0.486,WL_876_VSled_20220603
2022-06-03,10:46:00,26.683,106.143,0.489,WL_876_VSled_20220603
2022-06-03,10:48:00,26.683,105.73,0.447,WL_876_VSled_20220603
2022-06-03,10:50:00,26.683,106.384,0.514,WL_876_VSled_20220603
2022-06-03,10:52:00,26.781,105.904,0.465,WL_876_VSled_20220603
2022-06-03,10:54:00,26.781,106.025,0.478,WL_876_VSled_20220603
2022-06-03,10:56:00,26.781,105.784,0.453,WL_876_VSled_20220603
2022-06-03,10:58:00,26.781,106.128,0.488,WL_876_VSled_20220603
2022-06-03,11:00:00,26.781,105.887,0.464,WL_876_VSled_20220603
2022-06-03,11:02:00,26.781,105.956,0.471,WL_876_VSled_20220603
2022-06-03,11:04:00,26.879,106.389,0.515,WL_876_VSled_20220603
2022-06-03,11:06:00,26.879,105.924,0.468,WL_876_VSled_20220603
2022-06-03,11:08:00,26.879,106.303,0.506,WL_876_VSled_20220603
2022-06-03,11:10:00,26.879,105.941,0.469,WL_876_VSled_20220603
2022-06-03,11:12:00,26.879,105.993,0.475,WL_876_VSled_20220603
2022-06-03,11:14:00,26.879,106.527,0.529,WL_876_VSled_20220603
2022-06-03,11:16:00,26.977,106.116,0.488,WL_876_VSled_20220603
2022-06-03,11:18:00,26.977,106.495,0.526,WL_876_VSled_20220603
2022-06-03,11:20:00,26.977,106.03,0.479,WL_876_VSled_20220603
2022-06-03,11:22:00,26.977,106.065,0.482,WL_876_VSled_20220603
2022-06-03,11:24:00,26.977,106.53,0.53,WL_876_VSled_20220603
2022-06-03,11:26:00,26.977,106.357,0.512,WL_876_VSled_20220603
2022-06-03,11:28:00,26.977,106.289,0.505,WL_876_VSled_20220603
2022-06-03,11:30:00,27.075,106.24,0.501,WL_876_VSled_20220603
2022-06-03,11:32:00,27.075,105.964,0.472,WL_876_VSled_20220603
2022-06-03,11:34:00,26.977,106.134,0.489,WL_876_VSled_20220603
2022-06-03,11:36:00,26.977,106.444,0.521,WL_876_VSled_20220603
2022-06-03,11:38:00,27.075,106.205,0.497,WL_876_VSled_20220603
2022-06-03,11:40:00,27.075,106.791,0.557,WL_876_VSled_20220603
2022-06-03,11:42:00,27.075,106.102,0.487,WL_876_VSled_20220603
2022-06-03,11:44:00,27.075,106.498,0.527,WL_876_VSled_20220603
2022-06-03,11:46:00,27.075,106.153,0.492,WL_876_VSled_20220603
2022-06-03,11:48:00,27.075,106.24,0.501,WL_876_VSled_20220603
2022-06-03,11:50:00,27.075,106.05,0.481,WL_876_VSled_20220603
2022-06-03,11:52:00,27.075,106.257,0.502,WL_876_VSled_20220603
2022-06-03,11:54:00,27.075,106.308,0.508,WL_876_VSled_20220603
2022-06-03,11:56:00,27.075,106.274,0.504,WL_876_VSled_20220603
2022-06-03,11:58:00,27.075,106.515,0.529,WL_876_VSled_20220603
2022-06-03,12:00:00,27.075,105.981,0.474,WL_876_VSled_20220603
2022-06-03,12:02:00,27.075,106.395,0.517,WL_876_VSled_20220603
2022-06-03,12:04:00,27.075,106.205,0.497,WL_876_VSled_20220603
2022-06-03,12:06:00,27.075,106.619,0.539,WL_876_VSled_20220603
2022-06-03,12:08:00,27.075,106.291,0.506,WL_876_VSled_20220603
2022-06-03,12:10:00,27.075,106.343,0.511,WL_876_VSled_20220603
2022-06-03,12:12:00,27.075,106.153,0.492,WL_876_VSled_20220603
2022-06-03,12:14:00,27.075,106.498,0.527,WL_876_VSled_20220603
2022-06-03,12:16:00,27.075,106.67,0.545,WL_876_VSled_20220603
2022-06-03,12:18:00,27.075,106.567,0.534,WL_876_VSled_20220603
2022-06-03,12:20:00,27.075,106.687,0.546,WL_876_VSled_20220603
