Taxa,Genus,Family,Taxon_Group,Identified,Morphology,Morph2,Calcification,Calc,Energetic_Resource,ER,Identification_notes,Observation_notes
Pavona chiriquiensis,Pavona,Agaricidae,Cnidaria,yes,Encrusting,Enc,Hermatypic,Herm,Mixotrophy,Mix,"Glynn, Mate & Stemann, 2001; size based on P varians and P cf explanulata",
Pocillopora acuta,Pocillopora,Pocilloporidae,Cnidaria,yes,Branched,Br,Hermatypic,Herm,Mixotrophy,Mix,"Lamarck, 1816; growth based on p. damicornis",max size category estimated from field survey
Pocillopora verrucosa,Pocillopora,Pocilloporidae,Cnidaria,yes,Branched,Br,Hermatypic,Herm,Mixotrophy,Mix,"Ellis and Solander, 1786",
Porites irregularis,Porites,Poritidae,Cnidaria,yes,Branched,Br,Hermatypic,Herm,Mixotrophy,Mix,"Quelch, 1884; endemic to Polynesia and different from Verrill, 1864 which is a synonym of Porites rus",max size category estimated from field survey
Porites lobata,Porites,Poritidae,Cnidaria,yes,Massive,Mas,Hermatypic,Herm,Mixotrophy,Mix,"Dana , 1846",
Porites lutea,Porites,Poritidae,Cnidaria,yes,Massive,Mas,Hermatypic,Herm,Mixotrophy,Mix,"Milne Edwards and Haime, 1851",
Porites rus,Porites,Poritidae,Cnidaria,yes,Massive,Mas,Hermatypic,Herm,Mixotrophy,Mix,"Forskal, 1775",
Psammocora stellata,Psammocora,Psammocoridae,Cnidaria,yes,Branched,Br,Hermatypic,Herm,Mixotrophy,Mix,"Verrill, 1866",assumed max size category estimated from field survey
Rubble,Substrate,Substrate,Hard Substrate,yes,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,,
Sand,Substrate,Substrate,Sand,yes,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,,
Sargassum pacificum,Sargassum,Sargassaceae,Phaeophyta,yes,Branched,Br,Non-Calcified,NC,Autotrophy,Auto,"Bory, 1828; previously Sargassum mangarevense (Grunow) Setchell, 1926",
Stylocoeniella armata,Stylocoeniella,Astrocoeniidae,Cnidaria,yes,Encrusting,Enc,Hermatypic,Herm,Mixotrophy,Mix,"Ehrenberg, 1834",
Turbinaria ornata,Turbinaria,Sargassaceae,Phaeophyta,yes,Branched,Br,Non-Calcified,NC,Autotrophy,Auto,"(Turner) J.Adardh, 1848",
Turf,Turf,NA,Turf,yes,Filamentous,Fil,Non-Calcified,NC,Autotrophy,Auto,,assumed max size category estimated from field survey
Valonia fastigiata,Valonia,Valoniaceae,Chlorophyta,yes,Cushion-like,Cushion,Non-Calcified,NC,Autotrophy,Auto,"Harvey ex J. Agardh, 1887",
Valonia macrophysa,Valonia,Valoniaceae,Chlorophyta,yes,Cushion-like,Cushion,Non-Calcified,NC,Autotrophy,Auto,"Kutzing, 1843",
Valonia ventricosa,Valonia,Valoniaceae,Chlorophyta,yes,Spherical,Sph,Non-Calcified,NC,Autotrophy,Auto,"J.Agardh, 1887",
Verongida sp.,Verongida,NA,Porifera,yes,Encrusting,Enc,Non-Calcified,NC,Heterotrophy,Het,Freeman and Easson 2016,assumed max size category estimated from field survey
