Y,Parameter,Reg_Type,AICc,R2,pVal.P,delAICc
NbSpP,Salinity,Linear,154.968179215539,0.01220290651804657,0.6525617405223862,5.094831738212946
NbSpP,Salinity,Polynomial,153.92714627504475,0.212189540840265,0.060986479837435124,4.0537987977186845
NbSpP,Temperature,Linear,154.60440339196228,0.030935464565237526,0.4713643626385706,4.731055914636215
NbSpP,Temperature,Polynomial,157.8449946122218,0.031779286669163874,0.9074693107814373,7.971647134895733
NbSpP,pH,Linear,155.1915011290445,5.240510113927408e-4,0.9258861257940898,5.318153651718433
NbSpP,pH,Polynomial,158.16521193291132,0.015323053658430431,0.6305245048502681,8.291864455585255
NbSpP,Phosphate,Linear,155.02356274571386,0.009319353780919264,0.694210718869009,5.150215268387797
NbSpP,Phosphate,Polynomial,153.28656697445226,0.23830757929337165,0.043415502608401185,3.4132194971261924
NbSpP,Silicate,Linear,154.9521730687746,0.013034704800907012,0.6416482431312798,5.078825591448549
NbSpP,Silicate,Polynomial,158.11692234892905,0.017822488721217198,0.7836114560334528,8.243574871602988
NbSpP,Nitrate+Nitrite,Linear,155.11376654267832,0.004604847422658644,0.7825268624003314,5.240419065352256
NbSpP,Nitrate+Nitrite,Polynomial,156.20940212012607,0.11164072018502585,0.18402839743697527,6.336054642800008
NbSpP,Complexity,Linear,154.76914566115317,0.022496516578385382,0.5399539890183435,4.895798183827111
NbSpP,Complexity,Polynomial,149.87334747732606,0.36355392364592476,0.009848090307750664,0
NbFEsP,Salinity,Linear,125.68781562086322,1.0542841906820952e-4,0.9667228675898598,4.3632185464473
NbFEsP,Salinity,Polynomial,123.02698899227684,0.2677091531495745,0.027898150092337693,1.702391917860922
NbFEsP,Temperature,Linear,124.09774488568782,0.08037873981079303,0.23950314366890754,2.7731478112718975
NbFEsP,Temperature,Polynomial,127.32958506538414,0.08160260260974654,0.8857297976201435,6.004987990968218
NbFEsP,pH,Linear,125.61581129240639,0.0038875592745466537,0.799824622584199,4.291214217990472
NbFEsP,pH,Polynomial,127.977641720609,0.049737334174274526,0.3926052441297787,6.653044646193081
NbFEsP,Phosphate,Linear,124.80002117346854,0.04575178460550143,0.3792399193797428,3.475424099052617
NbFEsP,Phosphate,Polynomial,125.61658973348395,0.16078029067003624,0.1580573810794351,4.291992659068029
NbFEsP,Silicate,Linear,125.68054131099184,4.881731959892788e-4,0.9284616983590057,4.3559442365759224
NbFEsP,Silicate,Polynomial,127.10858789241934,0.09222299289314782,0.22170247025337714,5.783990818003417
NbFEsP,Nitrate+Nitrite,Linear,124.63636308712441,0.05393598304108017,0.338688270493007,3.311766012708489
NbFEsP,Nitrate+Nitrite,Polynomial,121.32459707441592,0.33046851464746313,0.02052608434898915,0
NbFEsP,Complexity,Linear,125.6246121856434,0.003426048225028956,0.8118659567295001,4.300015111227481
NbFEsP,Complexity,Polynomial,128.78061601985456,0.008716823303078963,0.7738681428818088,7.456018945438643
resSpp,Salinity,Linear,147.37913541700956,0.0036049752933508625,0.807101660202449,0.6399473025480518
resSpp,Salinity,Polynomial,146.7391881144615,0.18837875710650376,0.07442606886696809,0
resSpp,Temperature,Linear,146.81224624305335,0.03289456965052294,0.45742527139204703,0.07305812859183902
resSpp,Temperature,Polynomial,150.00057191319237,0.03639104826714234,0.812655114434164,3.2613837987308614
resSpp,pH,Linear,147.3457328035192,0.005355131053418471,0.7659147046659445,0.6065446890576993
resSpp,pH,Polynomial,150.1650089878592,0.02801522237378467,0.5499456572419279,3.425820873397697
resSpp,Phosphate,Linear,147.17703228070275,0.01414746663816637,0.6276826698554001,0.43784416624123423
resSpp,Phosphate,Polynomial,147.57931210570266,0.1516860139129375,0.12681106075587587,0.8401239912411427
resSpp,Silicate,Linear,146.88865105409937,0.028997712956189508,0.48580907799438944,0.14946293963785706
resSpp,Silicate,Polynomial,149.9316951562335,0.03987789593247349,0.6759196096402273,3.1925070417719894
resSpp,Nitrate+Nitrite,Linear,147.19627734705526,0.01314839245817509,0.6401892709941741,0.457089232593745
resSpp,Nitrate+Nitrite,Polynomial,148.07781375809887,0.12913430995630598,0.16370648437053872,1.3386256436373571
resFEp,Salinity,Linear,128.2701650263051,9.492028950394129e-4,0.9003605928613088,3.9454770682928313
resFEp,Salinity,Polynomial,130.1732579348692,0.069669556581509,0.293083147669869,5.848569976856936
resFEp,Temperature,Linear,128.02608175231092,0.013701411153783908,0.6331982866284563,3.701393794298639
resFEp,Temperature,Polynomial,131.19593106033338,0.018222465037553003,0.7895239561306915,6.8712431023211025
resFEp,pH,Linear,127.98339189976039,0.015914973012770863,0.6068135909552473,3.658703941748115
resFEp,pH,Polynomial,125.87493289458129,0.25802748192842384,0.03630363566861049,1.5502449365690154
resFEp,Phosphate,Linear,127.78372717189019,0.026202250232505036,0.5079285218083431,3.459039213877915
resFEp,Phosphate,Polynomial,129.4197893206926,0.10584101432317918,0.24997387511266045,5.09510136268031
resFEp,Silicate,Linear,126.04474727056,0.1113722890171641,0.16261473142978197,1.7200593125477184
resFEp,Silicate,Polynomial,127.16046957986781,0.20608847117644008,0.18608011547454312,2.8357816218555314
resFEp,Nitrate+Nitrite,Linear,128.2845966292447,1.9007755690421757e-4,0.9553274667547338,3.9599086712324265
resFEp,Nitrate+Nitrite,Polynomial,124.32468795801228,0.3161624659605382,0.015169830348947866,0
